id,fullName,name,country,politicalGroup,nationalPoliticalGroup,acta,actavote,gdpr,gdprvote,article13,a13vote,biometrics30,biometrics31,biovote,terrorism,terrorvote
124750,Mireille D'ORNANO,D'Ornano,France,Europe of Freedom and Direct Democracy Group,Les Patriotes,4,none,4,none,1,bad,2,2,good,0,neutral
191695,Miroslavs MITROFANOVS,Mitrofanovs,Latvia,Group of the Greens/European Free Alliance,Latvijas Krievu savienība,4,none,4,none,2,good,2,2,good,4,none
124942,Molly SCOTT CATO,Scott Cato,United Kingdom,Group of the Greens/European Free Alliance,Green Party,4,none,4,none,2,good,2,2,good,1,bad
124934,Monika VANA,Vana,Austria,Group of the Greens/European Free Alliance,Die Grünen - Die Grüne Alternative,4,none,4,none,2,good,2,2,good,1,bad
96872,Nadja HIRSCH,Hirsch,Germany,Group of the Alliance of Liberals and Democrats for Europe,Freie Demokratische Partei,0,neutral,1,good,2,good,0,0,neutral,2,good
124965,Nathan GILL,Nathan Gill,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,4,none,4,none,2,good,2,2,good,2,good
4525,Nigel FARAGE,Farage,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,2,good,2,bad,2,good,2,2,good,4,none
26851,Nikolaos CHOUNTIS,Chountis,Greece,Confederal Group of the European United Left - Nordic Green Left,Popular Unity,2,good,1,good,2,good,2,2,good,2,good
125069,Notis MARIAS,Marias,Greece,European Conservatives and Reformists Group,Greece-The Alternative Road,4,none,4,none,4,none,2,2,good,2,good
125028,Olaf STUGER,Stuger,Netherlands,Europe of Nations and Freedom Group,Partij voor de Vrijheid,4,none,4,none,2,good,2,2,good,2,good
28154,Ole CHRISTENSEN,Christensen,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet,0,neutral,1,good,1,bad,1,0,none,1,bad
125047,Paloma LÓPEZ BERMEJO,López Bermejo,Spain,Confederal Group of the European United Left - Nordic Green Left,Izquierda Unida,4,none,4,none,0,neutral,2,2,good,2,good
124693,Pascal DURAND,Durand,France,Group of the Greens/European Free Alliance,Europe Écologie,4,none,4,none,4,none,2,2,good,1,bad
96735,Patrick LE HYARIC,Le Hyaric,France,Confederal Group of the European United Left - Nordic Green Left,Front de Gauche,2,good,1,good,1,bad,2,2,good,0,neutral
124940,Patrick O'FLYNN,O'Flynn,United Kingdom,Europe of Freedom and Direct Democracy Group,Social Democratic Party,4,none,4,none,2,good,2,2,good,4,none
